"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 5. Service and sales workers","Currency: U.S. dollars","2017",141.813,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",103.627,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 7. Craft and related trades workers","Currency: U.S. dollars","2017",127.813,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","Currency: U.S. dollars","2017",142.989,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 9. Elementary occupations","Currency: U.S. dollars","2017",96.284,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 0. Armed forces occupations","Currency: U.S. dollars","2017",304.361,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): Total","Currency: U.S. dollars","2017",137.483,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 1. Managers","Currency: U.S. dollars","2017",350.481,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 2. Professionals","Currency: U.S. dollars","2017",242.839,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 3. Technicians and associate professionals","Currency: U.S. dollars","2017",230.419,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 4. Clerical support workers","Currency: U.S. dollars","2017",170.082,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 5. Service and sales workers","Currency: U.S. dollars","2017",128.046,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
